CustomerID,CustomerName,Age,Gender,AnnualIncome_INR,IncomeCurrency,SpendingScore_1_100,MembershipTier,JoinDate,LastPurchaseDate,VisitFrequency,AvgBasketValue_INR,TotalPurchases,OnlinePurchases,StorePurchases,PreferredCategory,City,Country,EmailProvider,DeviceType,PaymentMethod,LoyaltyPoints,SatisfactionRating_1_5,CouponUsed,ChurnNextMonth,HasPurchaseHistory
CUST100001,Diya Verma,42,Female,241279.0,INR,57,Silver,2024-02-24,2024-09-14,Rarely,758.43,40,3,38,Beauty,Bengaluru,India,gmail.com,Android,Credit Card,1438,2,Yes,0,1
CUST100002,Aditya Nair,52,Male,1135484.0,INR,61,Gold,2025-02-02,2025-10-10,Weekly,2132.28,7,4,2,Sports,Pune,India,hotmail.com,iOS,Upi,865,1,Yes,0,1
CUST100003,Saanvi Kumar,27,Male,241860.0,INR,64,Silver,2022-05-30,2023-12-17,Rarely,2269.85,9,0,10,Electronics,Lucknow,India,gmail.com,Mobile,Upi,2472,1,Yes,0,1
CUST100004,Vihaan Iyer,27,Female,470187.0,INR,86,Silver,2024-01-31,2024-07-18,Rarely,723.67,30,29,1,Food Court,Pune,India,gmail.com,Android,Credit Card,1700,3,Yes,0,1
CUST100005,Krishna Rao,25,Male,630873.0,INR,53,Basic,2022-01-25,2022-05-01,Monthly,12062.69,38,21,17,Fashion,Bengaluru,India,hotmail.com,Web,Credit Card,1203,2,Yes,0,1
CUST100006,Vihaan Iyer,41,Male,25000000.0,INR,51,Silver,2021-04-30,2022-12-14,Monthly,957.19,10,4,7,Gaming,Kolkata,India,gmail.com,Android,Wallet,2332,1,No,0,1
CUST100007,Reyansh Mehta,9,Female,844350.0,INR,68,Silver,2021-11-20,2023-02-11,Weekly,3903.16,13,6,7,Home Decor,Pune,India,outlook.com,iOS,Debit Card,1182,1,No,0,1
CUST100008, Sai Mishra ,27,Male,693450.0,INR,50,Gold,2023-01-17,2025-04-11,Rarely,1638.04,0,0,0,Food Court,Kolkata,India,yahoo.com,Desktop,Upi,855,2,No,0,1
CUST100009,Myra Nair,22,Female,1020287.0,INR,88,Platinum,2024-08-06,2026-01-09,Weekly,1817.0349999999999,9,2,6,Food Court,Ahmedabad,India,gmail.com,Web,Credit Card,553,3,Yes,0,1
CUST100010,Ishaan Chopra,49,Female,821121.0,INR,41,Gold,2024-01-28,2026-05-30,Rarely,2226.43,19,7,12,Food Court,Pune,India,outlook.com,Android,Upi,1057,5,Yes,0,1
CUST100011,Sai Sinha,11,Female,837540.0,INR,67,Basic,2024-11-26,2026-05-10,Monthly,283.96,9,1,7,Kids,Bangalore,India,company.com,iOS,Wallet,412,4,Yes,0,1
CUST100012,Ananya Joshi,33,Male,570610.0,INR,38,Basic,2024-11-25,2024-12-15,Daily,970.5,11,0,12,Kids,Jaipur,India,gmail.com,iOS,Credit Card,1497,3,Yes,0,1
CUST100013,Reyansh Rao,33,Female,609387.0,INR,74,Gold,2021-02-09,2023-03-18,Daily,1272.03,5,4,2,Fashion,Hyderabad,India,gmail.com,iOS,Credit Card,852,1,No,0,1
CUST100014,Kiara Kapoor,28,Male,1085571.0,USD,48,Platinum,2023-01-29,2023-04-09,Rarely,1276.17,20,16,3,Books,Bengaluru,India,company.com,Android,Card,679,4,Yes,0,1
CUST100015,Saanvi Verma,55,Other,444057.0,INR,62,Silver,2022-01-27,2022-04-24,Weekly,2088.18,7,6,1,Home Decor,Chennai,India,yahoo.com,Android,Upi,1001,3,No,0,1
CUST100016,Aadhya Khan,25,Female,213481.0,INR,23,Silver,2022-12-09,2022-12-09,Rarely,1194.35,16,15,1,Fashion,Mumbai,India,gmail.com,Web,Debit Card,613,1,No,0,0
